,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
25963,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Very favorable
25964,45-54,24.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Somewhat trust,Indifferent
25965,25-34,6.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
25966,25-34,13.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
25967,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
25968,25-34,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
25969,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
25970,35-44,10.0,Senior Developer,Monthly,"Good, but not great",Somewhat trust,Very favorable
25971,45-54,29.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Favorable
25972,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very poor,Neither trust nor distrust,Indifferent
25973,45-54,35.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat trust,Unsure
25974,35-44,19.0,Principal,I plan to use AI soon,Neither good or bad,Somewhat distrust,Indifferent
25975,25-34,8.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
25976,45-54,22.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
25977,55-64,35.0,Veteran/Executive,Monthly,I don't use AI for complex tasks,Somewhat distrust,Favorable
25978,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
25979,35-44,9.0,Senior Developer,I plan to use AI soon,"Good, but not great",Somewhat trust,Favorable
25980,45-54,25.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
25981,35-44,18.0,Principal,Daily,Bad,Somewhat trust,Very favorable
25982,55-64,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
25983,45-54,28.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Neither trust nor distrust,Favorable
25984,45-54,29.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Very favorable
25985,35-44,13.0,Staff/Lead Developer,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
25986,25-34,13.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Somewhat distrust,Unfavorable
25987,35-44,13.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Very unfavorable
25988,35-44,3.0,Junior Developer,Daily,Bad,Somewhat trust,Very favorable
25989,25-34,5.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
25990,55-64,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
25991,18-24,3.0,Junior Developer,Daily,Neither good or bad,Somewhat distrust,Indifferent
25992,55-64,27.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
25993,25-34,4.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Very favorable
25994,25-34,1.0,Junior Developer,Daily,Very well,Somewhat trust,Very favorable
25995,35-44,20.0,Principal,Daily,Very poor,Highly distrust,Indifferent
25996,25-34,6.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
25997,55-64,35.0,Veteran/Executive,Daily,Neither good or bad,Somewhat trust,Favorable
25998,35-44,10.0,Senior Developer,Daily,Very well,Somewhat trust,Very favorable
25999,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26000,45-54,35.0,Veteran/Executive,Monthly,"Good, but not great",Neither trust nor distrust,Indifferent
26001,55-64,40.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat trust,Very favorable
26002,35-44,15.0,Staff/Lead Developer,Daily,Very poor,Somewhat trust,Favorable
26003,35-44,10.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
26004,45-54,20.0,Principal,Daily,Bad,Neither trust nor distrust,Very favorable
26005,45-54,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26006,45-54,15.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Favorable
26007,25-34,16.0,Principal,Weekly,Bad,Somewhat trust,Favorable
26008,35-44,11.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26009,55-64,10.0,Senior Developer,Monthly,Very well,Neither trust nor distrust,Favorable
26010,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Very favorable
26011,35-44,6.0,Mid-Level Developer,Daily,Bad,Highly distrust,Indifferent
26012,35-44,23.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
26013,45-54,4.0,Mid-Level Developer,Monthly,Very poor,Highly distrust,Very unfavorable
26014,25-34,5.0,Mid-Level Developer,Weekly,Very poor,Somewhat distrust,Favorable
26015,35-44,17.0,Principal,Weekly,I don't use AI for complex tasks,Neither trust nor distrust,Unfavorable
26016,25-34,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26017,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
26018,45-54,30.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat distrust,Very favorable
26019,55-64,32.0,Veteran/Executive,Daily,Neither good or bad,Neither trust nor distrust,Favorable
26020,25-34,13.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Unfavorable
26021,25-34,9.0,Senior Developer,Daily,Bad,Somewhat trust,Favorable
26022,18-24,2.0,Junior Developer,Daily,Very poor,Somewhat distrust,Unfavorable
26023,35-44,13.0,Staff/Lead Developer,Weekly,Bad,Somewhat distrust,Favorable
26024,35-44,12.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Favorable
26025,55-64,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
26026,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
26027,45-54,23.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
26028,35-44,15.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Highly distrust,Indifferent
26029,>=65,35.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
26030,35-44,18.0,Principal,Daily,Very poor,Somewhat trust,Favorable
26031,55-64,30.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Favorable
26032,35-44,19.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
26033,55-64,34.0,Veteran/Executive,Weekly,"Good, but not great",Somewhat trust,Favorable
26034,>=65,35.0,Veteran/Executive,Weekly,Neither good or bad,Neither trust nor distrust,Very favorable
26035,>=65,45.0,Veteran/Executive,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
26036,25-34,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26037,45-54,30.0,Distinguished Engineer/Fellow,I plan to use AI soon,Very poor,Highly distrust,Indifferent
26038,35-44,23.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
26039,55-64,35.0,Veteran/Executive,Weekly,Bad,Somewhat trust,Favorable
26040,25-34,8.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
26041,25-34,11.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
26042,45-54,30.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Indifferent
26043,35-44,9.0,Senior Developer,Daily,"Good, but not great",Neither trust nor distrust,Indifferent
26044,35-44,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
26045,55-64,35.0,Veteran/Executive,Daily,Neither good or bad,Neither trust nor distrust,Favorable
26046,35-44,26.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
26047,25-34,5.0,Mid-Level Developer,Daily,I don't use AI for complex tasks,Highly trust,Very favorable
26048,>=65,30.0,Distinguished Engineer/Fellow,Daily,Very well,Highly trust,Very favorable
26049,25-34,13.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Favorable
26050,25-34,14.0,Staff/Lead Developer,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
26051,35-44,22.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
26052,>=65,50.0,Veteran/Executive,Weekly,"Good, but not great",Somewhat trust,Favorable
26053,25-34,7.0,Senior Developer,Daily,Neither good or bad,Highly distrust,Unfavorable
26054,25-34,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26055,18-24,1.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
26056,35-44,16.0,Principal,Weekly,"Good, but not great",Somewhat trust,Favorable
26057,35-44,13.0,Staff/Lead Developer,I plan to use AI soon,"Good, but not great",Neither trust nor distrust,Favorable
26058,35-44,21.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
26059,25-34,11.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat distrust,Favorable
26060,25-34,9.0,Senior Developer,Weekly,Bad,Somewhat trust,Favorable
26061,18-24,1.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26062,45-54,11.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26063,25-34,4.0,Mid-Level Developer,Monthly,"Good, but not great",Somewhat trust,Favorable
26064,35-44,17.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Favorable
26065,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26066,35-44,16.0,Principal,Daily,Neither good or bad,Somewhat distrust,Favorable
26067,55-64,30.0,Distinguished Engineer/Fellow,I plan to use AI soon,Bad,Somewhat distrust,Indifferent
26068,35-44,22.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
26069,25-34,10.0,Senior Developer,Daily,Very well,Highly trust,Very favorable
26070,35-44,16.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
26071,35-44,13.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Indifferent
26072,25-34,2.0,Junior Developer,Monthly,Neither good or bad,Somewhat distrust,Indifferent
26073,45-54,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat distrust,Indifferent
26074,35-44,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
26075,35-44,13.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
26076,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26077,35-44,14.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
26078,55-64,30.0,Distinguished Engineer/Fellow,I plan to use AI soon,Very poor,Highly distrust,Unfavorable
26079,25-34,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26080,>=65,47.0,Veteran/Executive,Weekly,Neither good or bad,Somewhat trust,Favorable
26081,35-44,13.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
26082,25-34,7.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
26083,45-54,28.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Favorable
26084,45-54,15.0,Staff/Lead Developer,Monthly,"Good, but not great",Neither trust nor distrust,Favorable
26085,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26086,25-34,9.0,Senior Developer,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
26087,35-44,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
26088,45-54,30.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Somewhat distrust,Favorable
26089,35-44,11.0,Staff/Lead Developer,Weekly,Bad,Neither trust nor distrust,Favorable
26090,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Very favorable
26091,45-54,30.0,Distinguished Engineer/Fellow,I plan to use AI soon,Bad,Neither trust nor distrust,Indifferent
26092,25-34,12.0,Staff/Lead Developer,Daily,Very well,Somewhat distrust,Very favorable
26093,35-44,15.0,Staff/Lead Developer,Weekly,Very poor,Somewhat distrust,Favorable
26094,45-54,24.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat trust,Favorable
26095,55-64,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
26096,35-44,17.0,Principal,Daily,Very poor,Neither trust nor distrust,Favorable
26097,55-64,30.0,Distinguished Engineer/Fellow,Daily,Very well,Highly trust,Very favorable
26098,35-44,16.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26099,35-44,5.0,Mid-Level Developer,Daily,Very well,Highly trust,Very favorable
26100,18-24,1.0,Junior Developer,Daily,Very well,Somewhat trust,Favorable
26101,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
26102,55-64,49.0,Veteran/Executive,Weekly,Very well,Somewhat distrust,Favorable
26103,35-44,18.0,Principal,Daily,Very poor,Somewhat trust,Favorable
26104,25-34,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26105,25-34,10.0,Senior Developer,Monthly,Bad,Somewhat distrust,Unfavorable
26106,45-54,20.0,Principal,Daily,"Good, but not great",Highly trust,Very favorable
26107,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
26108,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26109,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
26110,>=65,38.0,Veteran/Executive,Monthly,Neither good or bad,Somewhat distrust,Very favorable
26111,55-64,35.0,Veteran/Executive,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
26112,35-44,25.0,Distinguished Engineer/Fellow,Monthly,"Good, but not great",Somewhat distrust,Indifferent
26113,35-44,10.0,Senior Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
26114,>=65,57.0,Veteran/Executive,I plan to use AI soon,Very well,Highly trust,Very favorable
26115,18-24,1.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Favorable
26116,35-44,7.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26117,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
26118,25-34,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26119,25-34,12.0,Staff/Lead Developer,Daily,Bad,Highly distrust,Indifferent
26120,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Indifferent
26121,35-44,12.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Indifferent
26122,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26123,55-64,36.0,Veteran/Executive,Weekly,Bad,Neither trust nor distrust,Indifferent
26124,45-54,15.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Favorable
26125,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26126,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Highly trust,Very favorable
26127,35-44,14.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Favorable
26128,25-34,6.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26129,18-24,1.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
26130,>=65,50.0,Veteran/Executive,Monthly,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
26131,35-44,17.0,Principal,Weekly,Bad,Neither trust nor distrust,Very favorable
26132,25-34,11.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
26133,25-34,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
26134,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26135,25-34,8.0,Senior Developer,I don't plan to use AI,Bad,Highly distrust,Unfavorable
26136,>=65,22.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Very favorable
26137,25-34,15.0,Staff/Lead Developer,Daily,Very poor,Somewhat trust,Favorable
26138,55-64,40.0,Veteran/Executive,Daily,Very well,Highly trust,Very favorable
26139,25-34,10.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
26140,45-54,35.0,Veteran/Executive,Monthly,"Good, but not great",Somewhat distrust,Favorable
26141,55-64,10.0,Senior Developer,I don't plan to use AI,Neither good or bad,Neither trust nor distrust,Indifferent
26142,25-34,9.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
26143,35-44,20.0,Principal,Weekly,Neither good or bad,Highly distrust,Indifferent
26144,25-34,4.0,Mid-Level Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Unsure
26145,25-34,8.0,Senior Developer,Daily,Very poor,Highly distrust,Indifferent
26146,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Highly trust,Very favorable
26147,25-34,11.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Favorable
26148,>=65,27.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
26149,45-54,24.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
26150,45-54,30.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat distrust,Very favorable
26151,45-54,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unsure
26152,35-44,8.0,Senior Developer,Monthly,Very poor,Highly distrust,Indifferent
26153,25-34,7.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
26154,35-44,6.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
26155,45-54,23.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat distrust,Favorable
26156,35-44,14.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
26157,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
26158,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Neither good or bad,Highly distrust,Very unfavorable
26159,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Indifferent
26160,35-44,11.0,Staff/Lead Developer,Weekly,Bad,Neither trust nor distrust,Favorable
26161,55-64,40.0,Veteran/Executive,Monthly,"Good, but not great",Neither trust nor distrust,Indifferent
26162,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26163,25-34,11.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
26164,35-44,16.0,Principal,I don't plan to use AI,Neither good or bad,Somewhat trust,Indifferent
26165,25-34,11.0,Staff/Lead Developer,Monthly,Bad,Somewhat trust,Favorable
26166,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat distrust,Very favorable
26167,35-44,13.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
26168,55-64,38.0,Veteran/Executive,Daily,Bad,Somewhat trust,Very favorable
26169,45-54,25.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
26170,55-64,38.0,Veteran/Executive,Daily,"Good, but not great",Somewhat distrust,Very favorable
26171,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Favorable
26172,25-34,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26173,45-54,19.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26174,35-44,4.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat trust,Indifferent
26175,35-44,15.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Indifferent
26176,25-34,7.0,Senior Developer,Daily,Very well,Somewhat trust,Very favorable
26177,35-44,11.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Unfavorable
26178,55-64,30.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Favorable
26179,25-34,11.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
26180,25-34,4.0,Mid-Level Developer,I plan to use AI soon,Neither good or bad,Somewhat trust,Very favorable
26181,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26182,45-54,24.0,Distinguished Engineer/Fellow,Daily,I don't use AI for complex tasks,Somewhat trust,Very favorable
26183,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
26184,25-34,8.0,Senior Developer,Daily,Very poor,Somewhat trust,Very favorable
26185,18-24,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Indifferent
26186,25-34,3.0,Junior Developer,Monthly,Bad,Highly distrust,Unfavorable
26187,35-44,12.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat trust,Very favorable
26188,25-34,3.0,Junior Developer,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
26189,45-54,20.0,Principal,Daily,Very well,Somewhat trust,Very favorable
26190,35-44,8.0,Senior Developer,Weekly,Bad,Neither trust nor distrust,Favorable
26191,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26192,35-44,22.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
26193,55-64,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
26194,45-54,22.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Unfavorable
26195,25-34,6.0,Mid-Level Developer,Daily,Bad,Highly distrust,Indifferent
26196,25-34,10.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
26197,55-64,29.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Indifferent
26198,55-64,33.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26199,35-44,10.0,Senior Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
26200,35-44,20.0,Principal,Daily,Very poor,Somewhat distrust,Favorable
26201,18-24,3.0,Junior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
26202,>=65,45.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
26203,35-44,6.0,Mid-Level Developer,Monthly,"Good, but not great",Neither trust nor distrust,Favorable
26204,35-44,21.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
26205,45-54,21.0,Distinguished Engineer/Fellow,Weekly,Very poor,Highly distrust,Favorable
26206,55-64,41.0,Veteran/Executive,I plan to use AI soon,Neither good or bad,Neither trust nor distrust,Indifferent
26207,18-24,2.0,Junior Developer,Daily,Very well,Highly trust,Favorable
26208,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Favorable
26209,45-54,25.0,Distinguished Engineer/Fellow,I plan to use AI soon,Very poor,Highly distrust,Indifferent
26210,>=65,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
26211,45-54,25.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
26212,45-54,23.0,Distinguished Engineer/Fellow,Weekly,Very poor,Highly distrust,Favorable
26213,25-34,8.0,Senior Developer,Weekly,Bad,Somewhat distrust,Indifferent
26214,35-44,16.0,Principal,Daily,Very poor,Neither trust nor distrust,Indifferent
26215,45-54,27.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
26216,55-64,37.0,Veteran/Executive,Daily,"Good, but not great",Somewhat distrust,Favorable
26217,>=65,15.0,Staff/Lead Developer,I plan to use AI soon,"Good, but not great",Neither trust nor distrust,Very favorable
26218,45-54,27.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
26219,55-64,40.0,Veteran/Executive,Daily,Very well,Highly trust,Very favorable
26220,35-44,14.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Unfavorable
26221,45-54,12.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
26222,25-34,7.0,Senior Developer,Weekly,Neither good or bad,Highly distrust,Favorable
26223,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
26224,35-44,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
26225,>=65,25.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Neither trust nor distrust,Very favorable
26226,18-24,3.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
26227,55-64,30.0,Distinguished Engineer/Fellow,Daily,I don't use AI for complex tasks,Somewhat distrust,Indifferent
26228,55-64,38.0,Veteran/Executive,Weekly,Neither good or bad,Somewhat trust,Favorable
26229,45-54,29.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat trust,Very favorable
26230,45-54,20.0,Principal,Daily,Bad,Highly distrust,Very favorable
26231,45-54,29.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Favorable
26232,45-54,31.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Favorable
26233,35-44,22.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Somewhat distrust,Indifferent
26234,45-54,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
26235,45-54,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat trust,Very favorable
26236,25-34,6.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
26237,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
26238,55-64,30.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Favorable
26239,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
26240,45-54,26.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Very favorable
26241,25-34,8.0,Senior Developer,Daily,Bad,Somewhat distrust,Indifferent
26242,18-24,5.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
26243,>=65,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
26244,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat distrust,Very favorable
26245,35-44,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26246,25-34,4.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Favorable
26247,25-34,1.0,Junior Developer,Daily,Very poor,Neither trust nor distrust,Indifferent
26248,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
26249,35-44,20.0,Principal,Weekly,Bad,Somewhat trust,Indifferent
26250,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat distrust,Very favorable
26251,>=65,40.0,Veteran/Executive,Daily,Bad,Somewhat trust,Favorable
26252,25-34,5.0,Mid-Level Developer,I plan to use AI soon,"Good, but not great",Somewhat trust,Very favorable
26253,25-34,5.0,Mid-Level Developer,Monthly,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
